TPR,PPID,Station,Date
RLC_SH,CN0PTX78CMA000AN0335,QC3,2020-11-26
RLC_SH,CN0PVN0F129637BJ036B,QC3,2020-11-26
RLC_SH,CN0PVN0F129637BU00FC,QC3,2020-11-26
RLC_SH,CN0PXM911296304E0082,QC3,2020-11-26
RLC_SH,CN0PYFV6129637C709CB,QC3,2020-11-26
RLC_SH,CN0RH40RCMK008A9072F,QC3,2020-11-26
RLC_SH,CN0RMD5PCMK0092M00E8,QC3,2020-11-26
RLC_SH,CN0RTF1YCMK0098LA018,QC3,2020-11-26
RLC_SH,CN0RTYR21296382N021F,QC3,2020-11-26
RLC_SH,CN0T0VJ3CMK008AQ0281,QC3,2020-11-26
RLC_SH,CN0T64M2CMK008A607F7,QC3,2020-11-26
RLC_SH,CN0TW82J1296393R041A,QC3,2020-11-26
RLC_SH,CN0TW82J1296393R0485,QC3,2020-11-26
RLC_SH,CN0TW82J1296396F03C9,QC3,2020-11-26
RLC_SH,CN0TW82J129639770394,QC3,2020-11-26
RLC_SH,CN0TW82J1296397R09A7,QC3,2020-11-26
RLC_SH,CN0VD2G7CMK0084TA24B,QC3,2020-11-26
RLC_SH,CN0VD2G7CMK0087L0129,QC3,2020-11-26
RLC_SH,CN0VDJMXCMK008CE02CF,QC3,2020-11-26
RLC_SH,CN0VDJMXCMK0098LA11C,QC3,2020-11-26
RLC_SH,CN0VRVWKCMK00052A01A,QC3,2020-11-26
RLC_SH,CN0VRVWKCMK00052A01E,QC3,2020-11-26
RLC_SH,CN0VRVWKCMK000A8A159,QC3,2020-11-26
RLC_SH,CN0VRVWKCMK000A8A15A,QC3,2020-11-26
RLC_SH,CN0WH66R1296303S007A,QC3,2020-11-26
RLC_SH,CN0WH66R1296399C03E5,QC3,2020-11-26
RLC_SH,CN0WH66R1296399I0187,QC3,2020-11-26
RLC_SH,CN0WH66RCMK0098FA01E,QC3,2020-11-26
RLC_SH,CN0WHPNWCMK0091E0045,QC3,2020-11-26
RLC_SH,CN0WRN921296301A0F42,QC3,2020-11-26
RLC_SH,CN0WRN921296397P027D,QC3,2020-11-26
RLC_SH,CN0WRN921296399T073E,QC3,2020-11-26
RLC_SH,CN0WRN92129639BE084A,QC3,2020-11-26
RLC_SH,CN0X2R41CMK00052A018,QC3,2020-11-26
RLC_SH,CN0X2R41CMK00052A01D,QC3,2020-11-26
RLC_SH,CN0X6CPD1296392400AC,QC3,2020-11-26
RLC_SH,CN0XPVX4CMK0091KA006,QC3,2020-11-26
RLC_SH,CN0XY80DCMK0093I0331,QC3,2020-11-26
RLC_SH,CN0Y0MPWCMK00919A006,QC3,2020-11-26
RLC_SH,CN0Y47D5129638A6002C,QC3,2020-11-26
RLC_SH,CN0Y6N4N1296391D019F,QC3,2020-11-26
RLC_SH,CN0Y9HCWCMK00052A060,QC3,2020-11-26
RLC_SH,CN0YFP8K1296396K028F,QC3,2020-11-26
RLC_SH,CN0YGG3X129639490271,QC3,2020-11-26
RLC_SH,CN0YJNVFCMK0088N02D9,QC3,2020-11-26
RLC_SH,CN01MXPYCMK000A8A3B1,OBA,2020-11-26
