
375R5,VAW50,"Alpine 15 (Commercial)   ",1.7,A18,A11,TPM,A00,UMA,I3-4030,"\",2017/8/29
39GGH,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,null,TPM,null,UMA,VI5-8350U,"\","2019-08-21 09:41:32"
3CX43,DAJ00,"Pebble Creek MLK(Commercial)",1.0,1.8.0,,DTP,,MLK,I7V,,"2019-08-23 05:47:39"
3D5D8,DDM70,"Breckenridge 14 MLK",1.0,1.10.1,,DTP,,UMA,I7-7600U,,"2019-08-21 09:41:32"
3DGJ0,CAZ10,"Steamboat 12",1.7,1.15.1,A07,TPM,null,UMA,I7-66,,"2019-09-30 05:47:57"
3DPFV,DAM01,"Berlinetta P CFL",1.0,1.12.0,,TPM,,DIS,I5-8400,,"2019-06-03 14:11:08"
3DWDJ,ZAL51,"Marble Falls 14 DIS HSW (B6)",1.4,A10,A10,,A00,UMA,I5-4210U,"\",2016/7/15
3FYD6,DDB00,"Berlinetta-P 15 CFL 4ph",1.0,1.12.0,,TPM,,UMA,I5-8300H,,"2019-06-06 11:03:44"
3GMP2,AAZ60,"Beaver Creek 14",2.2,1.20.3,A07,TPM,A06,UMA,I5-6200U,"\","2019-04-19 19:38:15"
3HVFN,DAJ00,"Pebble Creek MLK(Commercial)",1.0,1.8.0,,DTP,,MLK,I5V,,"2019-08-23 05:47:39"
3JDRV,DDM60,"Breckenridge 12 MLK",1.0,1.10.1,,TPM,,UMA,I7-8650,,"2019-08-21 09:41:32"
3K98M,ZAM71,"Houston 14 DSC (E6)",2.3,A15,A15,DTP,A05,DIS,I5-5300U,DOCK,2017/8/3
3M26R,VAUA0,"Goliad 14 (Commercial)",1.9,A21,A14,TPM,"\","\","\","\",2017/8/14
3MCRF,ADM80,"Park City 14""-U ",2.1,1.21.6,A16,TPM,A05,UMA,I5-6300U,"\","2019-11-29 14:35:07"
3MK2N,DAZ40,"Steamboat 14 MLK",1.0,1.11.0,,TPM,,UMA,KI5-8350U,,"2019-09-12 10:17:40"
3MNCR,CDM70,"Breckenridge 14U(Commercial)",1.5,1.16.0,A05,DTP,"A00
",UMA,KI3-7100U,"\","2019-09-24 14:03:45"
3MV0F,DAZ20,"Steamboat 12 MLK",1.0,1.11.0,null,DTP,null,UMA,I5-7200,,"2019-09-12 10:17:40"
3MXTJ,QAL91,"Dalmore- 14 ATG(commercial)",1.6,A16,A16,TPM,"\",DIS,"\","\",2016/6/2
3N0YJ,QAL91,"Dalmore- 14 ATG
(commercial)",1.6,A16,A16,TPM,"\",DIS,"\","\",2016/6/2
3PN2H,BAJ00,"Pebble Creek",1.4,1.4.3,A01,DTP,A01,UMA,I5V,"\","2019-02-19 17:04:18"
3RRGG,ZAM60,"Houston 12(E6)",2.3,A15,A12,DTP,A05,"\",I5-5300U,DOCK,2017/8/3
